Name,dtype,Num Non-Null,Num Unique
Database ID,object,1881,1866
Gender,object,1877,3
Age,float64,1878,75
Race,object,1881,6
Height (cm),float64,1672,73
Weight (kg),float64,1733,123
BMI,float64,1730,292
Zip Code,float64,1864,1096
Health Insurance,object,1881,4
ASA Class,object,1877,6
Functional Status,object,1881,4
Family history of CRC,object,1881,3
Date of Diagnosis,object,1874,1247
Primary v. Recurrence,object,1877,3
HTN,object,1881,3
Diabetes,object,1881,3
Prior Cardiac Event,object,1881,3
CHF,object,1881,3
Dyspnea,object,1881,3
Alcohol Abuse,object,1881,3
Smoking History,object,1881,3
Severe COPD,object,1881,3
Ventilator-Dependent,object,1881,2
Acute Renal Failure,object,1881,3
Chronic Renal Failure,object,1881,3
Dialysis,object,1881,3
Chronic Liver Disease,object,1881,4
Chronic Steroids,object,1881,3
Previous Diagnosis of Cancer,object,160,11
Previous Diagnosis of Prostate Cancer,object,1881,3
Previous Diagnosis of GYN Cancer,object,1881,3
Disseminated Cancer,object,1881,3
Prior PELVIC Radiation,object,1881,3
Time from Prior Radiation (yrs),object,67,6
Known Genetic Syndrome,object,30,5
Ulcerative Colitis,object,1388,5
Crohn's Disease,object,1386,4
Irritable Bowel Syndrome,object,1376,3
Pre-Treatment Sexual Dysfunction,object,30,3
Pre-Treatment Bladder Dysfunction,object,34,6
Pre-Treatment Fecal Incontinence,object,60,6
Prior Abdominal Operations,object,639,5
Bowel Obstruction,object,20,4
Malignant Fistula,object,24,5
Rectal Bleeding,object,1493,3
TPN Pre-Operatively,object,1319,3
Weight Loss,object,1757,4
Pre-Operative Rectal Stent,object,1430,3
Date Rectal Stent Placed,object,8,9
Reason for Rectal Stent,object,8,3
Complication after Stenting,object,1,2
Diverting Ostomy Before Surgery,object,1222,5
Platelet Count (x1000/ml),float64,1654,349
WBC Count,float64,1673,130
Neutrophil %,float64,724,262
Lymphocyte %,float64,723,248
Hemoglobin (g/dL),float64,1671,102
Systemic Sepsis,object,1440,3
Albumin (g/dL),float64,1224,39
Pre-Albumin (mg/dL),float64,12,11
BUN (mg/dL),float64,1439,51
Creatinine (mg/dL),float64,1680,115
CRP (mg/dL),float64,11,9
CEA (ng/mL),object,1293,261
CA 19-9 (U/mL),float64,11,12
Date of First Oncologic Consultation,object,1829,1180
CT scan,object,1658,3
Endorectal Ultrasound,object,1861,3
MRI,object,1857,3
Pre-Operative Imaging Diagnosis,object,1594,4
Largest Radiographic Tumor Size (cm),float64,1087,101
PET/PET-CT,object,1851,3
Distant Disease on PET- CT,object,406,3
Staging CT Chest,object,1852,4
Staging CXR,object,1742,3
Metastatic Disease,object,1854,3
Location of Metastatic Disease,object,223,7
Method of Metastatic Tumor Biopsy,object,1696,6
Date of Biopsy,object,85,81
Pre-Treatment T-Stage by MRI,object,795,10
Pre-Treatment N-Stage by MRI,object,795,9
Pre-Treatment M-Stage by MRI,object,815,4
Pre-Treatment 8th Edition AJCC Staging by MRI,object,731,10
Pre-Treatment T-Stage by ERUS,object,639,10
Number of Mesorectal Nodes by MRI,object,691,20
Number of Mesorectal Nodes by ERUS,object,565,12
Number of Retroperitoneal Nodes by CT,object,967,9
Number of Retroperitoneal Nodes by MRI,object,554,8
Number of Retroperitoneal Nodes by PET-CT,object,268,7
Number of Pelvic Nodes on CT,object,1022,9
Number of Pelvic Nodes on MRI,object,668,12
Number of Pelvic Nodes on PET-CT,object,287,8
Pre-Treatment Tumor Diameter (cm),float64,393,77
Pre-Treatment Length of Tumor (cm),float64,838,102
Pre-Treatment Distance from Anal Verge (cm),float64,1380,82
Tumor Location,object,1567,4
Pre-Treatment Distance from Anal Sphincters (cm),float64,386,45
Pre-Treatment Relationship to Peritoneal Reflection,object,1170,4
Involvement of Pelvic Sidewall,object,1618,3
Distal Circumferential or Radial Margin (mm),object,409,23
Sphincter Involvement,object,1396,3
Invasion into Reproductive Organs,object,1711,3
Invasion into Bladder,object,1705,3
Invasion into Sacrum,object,1708,3
Invasion of Sacral Nerve Roots,object,1707,3
Ureteral Obstruction,object,1470,4
Ureteral Obstruction Intervention,object,19,3
Bilobar Liver Disease,object,1685,3
# Liver Segments Involved,float64,124,9
Liver First Approach,object,1236,4
Neoadjuvant Chemotherapy,object,1874,3
Neoadjuvant Chemo Regimen,object,452,57
Date of Initiation,object,436,386
Date of Completion,object,417,373
Duration of Neoadjuvant Chemo (months),object,414,9
Neoadjuvant Chemo Treatment Completed,object,468,4
Neoadjuvant Chemoradiation,object,1872,3
Radiation Approach,object,1022,3
Radiation Technique,object,879,5
Radiation Dose,object,945,4
Date of Initiation_NeoadjChemoRad,object,1124,803
Date of Completion_NeoadjChemoRad,object,1144,850
Duration of Neoadjuvant ChemoXRT (in months),object,1131,9
Neoadjuvant ChemoXRT Treatment Completed,object,1174,3
Total Neoadjuvant Therapy (TNT) Protocol,object,1861,3
Complication During Neoadjuvant Treatment,object,469,121
Intervention Required_Neoadjvant Complication,object,165,3
